num_vertices,edge_percentage,num_edges,k_percentage,k,vertex_cover,is_vertex_cover,num_operations,num_solutions_tested,time
4,12.5,0,75.0,3,,False,0,1,0.0
4,25.0,1,75.0,3,,False,3,1,0.0
4,50.0,3,75.0,3,,False,7,1,0.0
4,75.0,4,75.0,3,,False,8,1,0.0
5,12.5,1,75.0,3,,False,3,1,0.0
5,25.0,2,75.0,3,,False,4,1,0.0
5,50.0,5,75.0,3,"{0, 2, 3}",True,21,2,0.0
5,75.0,7,75.0,3,"{1, 3, 4}",True,25,2,0.0
6,12.5,1,75.0,4,,False,3,1,0.0
6,25.0,3,75.0,4,,False,7,1,0.0
6,50.0,7,75.0,4,"{0, 1, 2, 5}",True,15,1,0.0009644031524658203
6,75.0,11,75.0,4,"{1, 3, 4, 5}",True,19,1,0.0
7,12.5,2,75.0,5,,False,4,1,0.0
7,25.0,5,75.0,5,,False,11,1,0.0
7,50.0,10,75.0,5,"{0, 2, 3, 4, 5}",True,39,2,0.0
7,75.0,15,75.0,5,"{1, 2, 3, 4, 5}",True,73,3,0.0
8,12.5,3,75.0,6,,False,9,1,0.0
8,25.0,7,75.0,6,,False,15,1,0.0
8,50.0,14,75.0,6,"{0, 1, 2, 4, 5, 7}",True,26,1,0.0
8,75.0,21,75.0,6,,False,31,1,0.0
9,12.5,4,75.0,6,,False,10,1,0.0
9,25.0,9,75.0,6,,False,19,1,0.0
9,50.0,18,75.0,6,"{1, 2, 3, 5, 6, 8}",True,59,2,0.0
9,75.0,27,75.0,6,,False,370665,10000,1.2546055316925049
10,12.5,5,75.0,7,,False,13,1,0.0
10,25.0,11,75.0,7,,False,23,1,0.0010046958923339844
10,50.0,22,75.0,7,"{0, 1, 2, 3, 4, 6, 8}",True,36,1,0.0
10,75.0,33,75.0,7,"{0, 2, 3, 4, 6, 7, 8}",True,811,18,0.002997159957885742
11,12.5,6,75.0,8,,False,16,1,0.0
11,25.0,13,75.0,8,,False,23,1,0.0
11,50.0,27,75.0,8,"{1, 2, 3, 4, 7, 8, 9, 10}",True,85,2,0.0
11,75.0,41,75.0,8,"{1, 2, 3, 4, 7, 8, 9, 10}",True,57,1,0.0016181468963623047
12,12.5,8,75.0,9,,False,18,1,0.0
12,25.0,16,75.0,9,,False,32,1,0.0
12,50.0,33,75.0,9,,False,49,1,0.00096893310546875
12,75.0,49,75.0,9,"{1, 2, 3, 4, 6, 7, 9, 10, 11}",True,67,1,0.0
13,12.5,9,75.0,9,,False,19,1,0.0
13,25.0,19,75.0,9,,False,31,1,0.0
13,50.0,39,75.0,9,"{0, 2, 3, 4, 6, 8, 10, 11, 12}",True,224,4,0.0010051727294921875
13,75.0,58,75.0,9,,False,722301,10000,2.5545878410339355
14,12.5,11,75.0,10,,False,25,1,0.00010466575622558594
14,25.0,22,75.0,10,,False,36,1,0.0
14,50.0,45,75.0,10,"{1, 3, 4, 6, 7, 8, 9, 10, 11, 13}",True,65,1,0.0
14,75.0,68,75.0,10,,False,842716,10000,3.0074641704559326
15,12.5,13,75.0,11,,False,25,1,0.001001596450805664
15,25.0,26,75.0,11,,False,46,1,0.0
15,50.0,52,75.0,11,"{1, 2, 3, 6, 7, 9, 10, 11, 12, 13, 14}",True,218,3,0.0009999275207519531
15,75.0,78,75.0,11,"{1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 14}",True,3387,35,0.011575698852539062
16,12.5,15,75.0,12,,False,31,1,0.0009667873382568359
16,25.0,30,75.0,12,,False,50,1,0.0
16,50.0,60,75.0,12,"{2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15}",True,415,5,0.001033782958984375
16,75.0,90,75.0,12,,False,1102443,10000,3.8929948806762695
17,12.5,17,75.0,12,,False,33,1,0.0
17,25.0,34,75.0,12,,False,56,1,0.00010061264038085938
17,50.0,68,75.0,12,"{0, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 16}",True,1423,16,0.004936933517456055
17,75.0,102,75.0,12,,False,1197344,10000,4.262406826019287
18,12.5,19,75.0,13,,False,37,1,0.0009386539459228516
18,25.0,38,75.0,13,,False,62,1,0.0
18,50.0,76,75.0,13,"{0, 1, 2, 3, 5, 7, 8, 9, 10, 12, 13, 15, 17}",True,2376,24,0.009602546691894531
18,75.0,114,75.0,13,,False,1335869,10000,4.908446550369263
19,12.5,21,75.0,14,,False,43,1,0.0010008811950683594
19,25.0,42,75.0,14,"{0, 2, 3, 4, 5, 6, 9, 12, 13, 14, 15, 16, 17, 18}",True,70,1,0.0
19,50.0,85,75.0,14,"{0, 1, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 18}",True,1765,16,0.006998777389526367
19,75.0,128,75.0,14,,False,1494853,10000,5.401343107223511
20,12.5,23,75.0,15,,False,47,1,0.0010004043579101562
20,25.0,47,75.0,15,,False,75,1,0.0
20,50.0,95,75.0,15,"{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 19}",True,487,4,0.0019998550415039062
20,75.0,142,75.0,15,,False,1657823,10000,5.999416351318359
21,12.5,26,75.0,15,,False,44,1,0.0
21,25.0,52,75.0,15,"{0, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 19, 20}",True,244,3,0.0010344982147216797
21,50.0,105,75.0,15,,False,1301531,10000,5.247254848480225
21,75.0,157,75.0,15,,False,1770847,10000,6.6097869873046875
22,12.5,28,75.0,16,,False,58,1,0.0
