num_vertices,edge_percentage,num_edges,k_percentage,k,vertex_cover,is_vertex_cover,num_operations,num_solutions_tested,time
24,75.0,207,75.0,18,,False,2330398,10000,13.867770195007324
25,12.5,37,75.0,18,,False,65,1,0.0010051727294921875
25,25.0,75,75.0,18,"{2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 19, 20, 22, 23, 24}",True,875,8,0.005017995834350586
25,50.0,150,75.0,18,,False,1782321,10000,12.56106162071228
25,75.0,225,75.0,18,,False,2468000,10000,17.473164796829224
26,12.5,40,75.0,19,,False,76,1,0.0010035037994384766
26,25.0,81,75.0,19,"{1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 19, 20, 22, 23, 24}",True,236,2,0.0019991397857666016
26,50.0,162,75.0,19,,False,1922973,10000,14.725985765457153
26,75.0,243,75.0,19,,False,2667857,10000,16.90377402305603
27,12.5,43,75.0,20,,False,75,1,0.0
27,25.0,87,75.0,20,"{2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 26}",True,127,1,0.0
27,50.0,175,75.0,20,"{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 19, 20, 22, 23, 24, 25, 26}",True,530386,2558,2.850829839706421
27,75.0,263,75.0,20,,False,2888612,10000,15.855479001998901
28,12.5,47,75.0,21,,False,81,1,0.0010046958923339844
28,25.0,94,75.0,21,"{2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 26, 27}",True,405,3,0.0025048255920410156
28,50.0,189,75.0,21,,False,2230832,10000,17.04170060157776
28,75.0,283,75.0,21,,False,3106769,10000,21.24491000175476
29,12.5,50,75.0,21,,False,86,1,0.0010006427764892578
29,25.0,101,75.0,21,,False,562,4,0.0045185089111328125
29,50.0,203,75.0,21,,False,2334064,10000,18.945437908172607
29,75.0,304,75.0,21,,False,3264401,10000,23.66798210144043
30,12.5,54,75.0,22,,False,94,1,0.0010023117065429688
30,25.0,108,75.0,22,,False,1050,7,0.009048223495483398
30,50.0,217,75.0,22,,False,2501530,10000,19.42350482940674
30,75.0,326,75.0,22,,False,3506019,10000,23.506848096847534
31,12.5,58,75.0,23,,False,98,1,0.0010077953338623047
31,25.0,116,75.0,23,,False,1271,8,0.0069980621337890625
31,50.0,232,75.0,23,,False,2672722,10000,14.58023738861084
31,75.0,348,75.0,23,,False,3748306,10000,18.469762802124023
32,12.5,62,75.0,24,,False,98,1,0.0010294914245605469
32,25.0,124,75.0,24,"{0, 2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 31}",True,1012,6,0.0062520503997802734
32,50.0,248,75.0,24,,False,2847079,10000,14.821653366088867
32,75.0,372,75.0,24,,False,4003231,10000,22.99112582206726
