num_vertices,12.5,25.0,50.0,75.0
4,0,3,7,10
5,3,6,21,13
6,3,7,15,19
7,6,11,20,49
8,9,15,26,33
9,12,19,171,370660
10,13,25,36,274
11,14,23,84,222
12,18,30,49,197
13,21,35,714,722138
14,25,36,574,842764
15,29,44,74,4725
16,31,50,1072,1102163
17,31,54,5866,1197242
18,37,62,803,1335820
19,43,64,1434,1494664
20,45,77,5473,1657328
21,52,80,1301444,1770582
22,50,85,23229,1949254
23,55,93,2174,2128364
24,64,204,1688082,2330151
25,65,437,1782126,2467896
26,68,702,1923193,2667439
27,73,377,121492,2888300
28,81,134,2231341,3107461
29,84,422,2334126,3264416
30,90,302,2501786,3505824
31,96,160,2672885,3747951
32,102,2873,2846833,4003018
