num_vertices,12.5,25.0,50.0,75.0
4,0,3,7,8
5,3,6,75,91825
6,3,9,85,151384
7,4,9,138343,172661
8,7,15,198220,250058
9,10,128,219069,277803
10,13,99,282135,361305
11,16,23,316039,406054
12,20,52,392377,505836
13,19,31,420965,551964
14,23,304,508556,672640
15,27,359148,541936,726110
16,57,426035,640586,859743
17,31,449699,686621,926136
18,35,508209,792729,1065308
19,301,532575,834187,1135981
20,169,599651,954983,1302180
21,658,628662,1010728,1376050
22,240,701452,1125339,1553224
23,1153,741171,1184602,1630161
24,279,820270,1323630,1832753
25,638,852557,1386110,1926572
26,621,933570,1528420,2127195
27,69,958029,1596155,2231799
28,214,1059180,1750987,2448176
29,5741,1089184,1812977,2551684
30,3292,1182836,1988307,2793927
31,801792,1232132,2068152,2907409
32,97311,1317573,2234671,3156705
