num_vertices,edge_percentage,num_edges,k_percentage,k,vertex_cover,is_vertex_cover,num_operations,num_solutions_tested,time
4,12.5,0,12.5,0,set(),True,0,1,0.0
4,25.0,1,12.5,0,,False,0,10000,0.07700467109680176
4,50.0,3,12.5,0,,False,0,10000,0.10180211067199707
4,75.0,4,12.5,0,,False,0,10000,0.12100553512573242
5,12.5,1,12.5,0,,False,0,10000,0.08615589141845703
5,25.0,2,12.5,0,,False,0,10000,0.11180377006530762
5,50.0,5,12.5,0,,False,0,10000,0.14734697341918945
5,75.0,7,12.5,0,,False,0,10000,0.1688840389251709
6,12.5,1,12.5,0,,False,0,10000,0.0984799861907959
6,25.0,3,12.5,0,,False,0,10000,0.12743616104125977
6,50.0,7,12.5,0,,False,0,10000,0.16697168350219727
6,75.0,11,12.5,0,,False,0,10000,0.21758484840393066
7,12.5,2,12.5,0,,False,0,10000,0.12035131454467773
7,25.0,5,12.5,0,,False,0,10000,0.1655135154724121
7,50.0,10,12.5,0,,False,0,10000,0.221282958984375
7,75.0,15,12.5,0,,False,0,10000,0.2788224220275879
8,12.5,3,12.5,1,,False,33276,10000,0.31612634658813477
8,25.0,7,12.5,1,,False,42965,10000,0.35749292373657227
8,50.0,14,12.5,1,,False,59372,10000,0.4778461456298828
8,75.0,21,12.5,1,,False,74567,10000,0.576042652130127
9,12.5,4,12.5,1,,False,35038,10000,0.3265244960784912
9,25.0,9,12.5,1,,False,44402,10000,0.41921472549438477
9,50.0,18,12.5,1,,False,63424,10000,0.5546169281005859
9,75.0,27,12.5,1,,False,80740,10000,0.6892144680023193
10,12.5,5,12.5,1,,False,34076,10000,0.35062313079833984
10,25.0,11,12.5,1,,False,48153,10000,0.44709300994873047
10,50.0,22,12.5,1,,False,68241,10000,0.6042945384979248
10,75.0,33,12.5,1,,False,87434,10000,0.7797329425811768
11,12.5,6,12.5,1,,False,34988,10000,0.39224696159362793
11,25.0,13,12.5,1,,False,52137,10000,0.5184037685394287
11,50.0,27,12.5,1,,False,76891,10000,0.7193677425384521
11,75.0,41,12.5,1,,False,97081,10000,0.9419660568237305
12,12.5,8,12.5,1,,False,38763,10000,0.43625926971435547
12,25.0,16,12.5,1,,False,53641,10000,0.6342434883117676
12,50.0,33,12.5,1,,False,80576,10000,0.8492081165313721
