num_vertices,edge_percentage,num_edges,k_percentage,k,vertex_cover,is_vertex_cover,num_operations,num_solutions_tested,time
4,12.5,0,75.0,3,,False,0,1,0.0
4,25.0,1,75.0,3,,False,3,1,0.0
4,50.0,3,75.0,3,,False,7,1,0.0
4,75.0,4,75.0,3,,False,8,1,0.0
5,12.5,1,75.0,3,,False,3,1,0.0
5,25.0,2,75.0,3,,False,6,1,0.0
5,50.0,5,75.0,3,"{0, 1, 4}",True,11,1,0.0
5,75.0,7,75.0,3,"{1, 3, 4}",True,13,1,0.0
6,12.5,1,75.0,4,,False,3,1,0.0
6,25.0,3,75.0,4,,False,7,1,0.0
6,50.0,7,75.0,4,,False,13,1,0.0
6,75.0,11,75.0,4,"{1, 3, 4, 5}",True,109,6,0.0010006427764892578
7,12.5,2,75.0,5,,False,6,1,0.0
7,25.0,5,75.0,5,,False,9,1,0.0
7,50.0,10,75.0,5,,False,18,1,0.0
7,75.0,15,75.0,5,"{0, 1, 2, 3, 5}",True,121,5,0.0
8,12.5,3,75.0,6,,False,9,1,0.0
8,25.0,7,75.0,6,,False,17,1,0.0
8,50.0,14,75.0,6,"{0, 2, 3, 5, 6, 7}",True,26,1,0.0
8,75.0,21,75.0,6,"{1, 3, 4, 5, 6, 7}",True,33,1,0.0
9,12.5,4,75.0,6,,False,10,1,0.0
9,25.0,9,75.0,6,,False,17,1,0.0
9,50.0,18,75.0,6,"{0, 2, 3, 4, 5, 7}",True,30,1,0.0
9,75.0,27,75.0,6,,False,370573,10000,1.3406970500946045
10,12.5,5,75.0,7,,False,13,1,0.0
10,25.0,11,75.0,7,,False,23,1,0.0
10,50.0,22,75.0,7,"{1, 2, 3, 4, 5, 7, 8}",True,106,3,0.001600503921508789
10,75.0,33,75.0,7,"{0, 2, 3, 4, 6, 7, 8}",True,457,10,0.0009775161743164062
11,12.5,6,75.0,8,,False,16,1,0.0
11,25.0,13,75.0,8,,False,27,1,0.0
11,50.0,27,75.0,8,"{1, 2, 3, 4, 6, 8, 9, 10}",True,43,1,0.0
11,75.0,41,75.0,8,"{0, 2, 3, 4, 6, 7, 8, 10}",True,57,1,0.0
12,12.5,8,75.0,9,,False,18,1,0.0
12,25.0,16,75.0,9,,False,32,1,0.0
12,50.0,33,75.0,9,"{0, 2, 3, 4, 5, 6, 7, 8, 11}",True,51,1,0.0010037422180175781
12,75.0,49,75.0,9,"{1, 2, 3, 4, 7, 8, 9, 10, 11}",True,329,5,0.0010004043579101562
13,12.5,9,75.0,9,,False,21,1,0.0
13,25.0,19,75.0,9,,False,33,1,0.0
13,50.0,39,75.0,9,"{1, 2, 3, 4, 8, 9, 10, 11, 12}",True,167,3,0.0010046958923339844
13,75.0,58,75.0,9,,False,722200,10000,2.5336501598358154
14,12.5,11,75.0,10,,False,23,1,0.0010013580322265625
14,25.0,22,75.0,10,,False,36,1,0.0
14,50.0,45,75.0,10,,False,126,2,0.0
14,75.0,68,75.0,10,,False,842463,10000,3.0515005588531494
15,12.5,13,75.0,11,,False,31,1,0.0
15,25.0,26,75.0,11,,False,46,1,0.0005459785461425781
15,50.0,52,75.0,11,"{0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 14}",True,74,1,0.0
15,75.0,78,75.0,11,"{1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 14}",True,14077,146,0.05080056190490723
16,12.5,15,75.0,12,,False,33,1,0.0
16,25.0,30,75.0,12,,False,48,1,0.0
16,50.0,60,75.0,12,"{2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15}",True,167,2,0.001033782958984375
16,75.0,90,75.0,12,,False,1102346,10000,4.00126314163208
17,12.5,17,75.0,12,,False,35,1,9.965896606445312e-05
17,25.0,34,75.0,12,,False,54,1,0.0
17,50.0,68,75.0,12,"{0, 1, 2, 3, 6, 7, 9, 10, 11, 12, 13, 14}",True,1954,22,0.007946014404296875
17,75.0,102,75.0,12,,False,1197166,10000,4.425930023193359
18,12.5,19,75.0,13,,False,35,1,0.0
18,25.0,38,75.0,13,,False,62,1,0.0
18,50.0,76,75.0,13,"{0, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15}",True,1087,11,0.0035810470581054688
18,75.0,114,75.0,13,,False,1335725,10000,5.1228415966033936
19,12.5,21,75.0,14,,False,41,1,0.0
19,25.0,42,75.0,14,"{2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18}",True,70,1,0.0010013580322265625
19,50.0,85,75.0,14,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16}",True,2430,22,0.009513616561889648
19,75.0,128,75.0,14,,False,1495126,10000,5.940322399139404
20,12.5,23,75.0,15,,False,47,1,0.0
20,25.0,47,75.0,15,"{0, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16, 18, 19}",True,77,1,0.001005411148071289
20,50.0,95,75.0,15,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 19}",True,2077,17,0.008556365966796875
20,75.0,142,75.0,15,,False,1657425,10000,6.860894680023193
21,12.5,26,75.0,15,,False,48,1,0.0
21,25.0,52,75.0,15,,False,80,1,0.0
21,50.0,105,75.0,15,,False,1301706,10000,5.521555423736572
21,75.0,157,75.0,15,,False,1770370,10000,6.992293834686279
22,12.5,28,75.0,16,,False,52,1,0.0
22,25.0,57,75.0,16,,False,87,1,0.0010416507720947266
