num_vertices,12.5,25.0,50.0,75.0
4,0,3,7,10
5,3,4,9,61
6,3,7,13,19
7,4,11,20,25
8,9,15,26,97
9,10,19,30,370683
10,13,23,71,541
11,16,23,41,1099
12,20,30,51,196
13,23,35,606,722231
14,25,38,128,842737
15,27,46,74,7541
16,33,54,330,1102155
17,33,56,268,1197334
18,35,62,102,1336145
19,43,66,113,1494956
20,45,147,734,1657670
21,48,82,1301776,1770538
22,50,87,45815,1948984
23,59,95,18094,2128399
24,58,207,1687811,2329914
25,65,111,1782386,2468051
26,70,816,1923033,2667247
27,77,127,1751259,2888367
28,85,136,2231663,3106877
29,86,843,2333882,3264769
30,88,1339,2502310,3505601
31,98,320,2672851,3748330
32,106,6591,2847137,4002947
