num_vertices,12.5,25.0,50.0,75.0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,33357,42823,59296,74873
9,35042,44352,63468,80754
10,34000,48122,67784,87330
11,35053,52327,76771,97300
12,38832,53672,80420,104070
13,42141,58177,84790,111815
14,42699,63349,90756,119705
15,45132,62401,95200,127801
16,97289,131919,194200,261869
17,102058,138025,207426,279699
18,106007,137430,217573,291711
19,102348,142976,225226,307190
20,102486,146450,235759,323597
21,108214,152940,248158,337436
22,107120,158290,254167,352239
23,113364,168563,265710,365051
24,167878,253049,406088,561987
25,174723,260900,422381,587416
26,172883,265777,434670,607183
27,181712,267415,451167,631854
28,184080,280772,464411,651746
29,192080,283734,474443,674157
30,193651,292486,494259,697619
31,194180,303309,511327,721083
32,272765,402033,684820,971050
